variant	case	depth_cap	run	ms
p3-bfs-bi	unreachable-cap	2	2	13.861
p3-bfs-bi	unreachable-cap	2	3	14.122
p3-bfs-bi	unreachable-cap	2	4	13.631
p3-bfs-bi	unreachable-cap	2	5	15.203
p4-adj-bi	unreachable-cap	2	1	8.218
p4-adj-bi	unreachable-cap	2	2	8.851
p4-adj-bi	unreachable-cap	2	3	8.986
p4-adj-bi	unreachable-cap	2	4	8.778
p4-adj-bi	unreachable-cap	2	5	8.157
p2-bfs-uni	unreachable-cap	3	1	23814.543
p2-bfs-uni	unreachable-cap	3	2	23738.000
p2-bfs-uni	unreachable-cap	3	3	22351.825
p3-bfs-bi	unreachable-cap	3	1	14.246
p3-bfs-bi	unreachable-cap	3	2	13.309
p3-bfs-bi	unreachable-cap	3	3	16.934
p3-bfs-bi	unreachable-cap	3	4	13.125
p3-bfs-bi	unreachable-cap	3	5	13.830
p4-adj-bi	unreachable-cap	3	1	8.015
p4-adj-bi	unreachable-cap	3	2	7.948
p4-adj-bi	unreachable-cap	3	3	8.128
p4-adj-bi	unreachable-cap	3	4	8.057
p4-adj-bi	unreachable-cap	3	5	8.637
p2-bfs-uni	unreachable-cap	4	1	96109.147
p2-bfs-uni	unreachable-cap	4	2	96338.820
p3-bfs-bi	unreachable-cap	4	1	13.912
p3-bfs-bi	unreachable-cap	4	2	12.750
p3-bfs-bi	unreachable-cap	4	3	13.574
p3-bfs-bi	unreachable-cap	4	4	13.150
p3-bfs-bi	unreachable-cap	4	5	13.216
p4-adj-bi	unreachable-cap	4	1	7.760
p4-adj-bi	unreachable-cap	4	2	8.474
p4-adj-bi	unreachable-cap	4	3	7.585
p4-adj-bi	unreachable-cap	4	4	7.754
p4-adj-bi	unreachable-cap	4	5	7.866
p3-bfs-bi	unreachable-cap	10	1	12.846
p3-bfs-bi	unreachable-cap	10	2	13.596
p3-bfs-bi	unreachable-cap	10	3	12.042
p3-bfs-bi	unreachable-cap	10	4	13.231
p3-bfs-bi	unreachable-cap	10	5	13.085
p4-adj-bi	unreachable-cap	10	1	7.708
p4-adj-bi	unreachable-cap	10	2	7.702
p4-adj-bi	unreachable-cap	10	3	8.274
p4-adj-bi	unreachable-cap	10	4	7.908
p4-adj-bi	unreachable-cap	10	5	7.565
p1-naive-cte	d2-artist-artist	1	1	4.693
p1-naive-cte	d2-artist-artist	1	2	4.715
p1-naive-cte	d2-artist-artist	1	3	4.768
p1-naive-cte	d2-artist-artist	1	4	4.791
p1-naive-cte	d2-artist-artist	1	5	4.610
p1-naive-cte	d2-artist-artist	2	1	9.080
p1-naive-cte	d2-artist-artist	2	2	8.724
p1-naive-cte	d2-artist-artist	2	3	8.882
p1-naive-cte	d2-artist-artist	2	4	8.733
p1-naive-cte	d2-artist-artist	2	5	8.875
p1-naive-cte	d2-artist-artist	3	-	over-temp-limit
p5-traverse	explore-artist-5665	1	1	11.871
p5-traverse	explore-artist-5665	1	2	11.777
p5-traverse	explore-artist-5665	1	3	11.306
p5-traverse	explore-artist-5665	1	4	11.766
p5-traverse	explore-artist-5665	1	5	11.663
p5-traverse	explore-artist-5665	2	1	22.353
p5-traverse	explore-artist-5665	2	2	22.137
p5-traverse	explore-artist-5665	2	3	21.723
p5-traverse	explore-artist-5665	2	4	22.534
p5-traverse	explore-artist-5665	2	5	22.057
p5-traverse	explore-artist-5665	3	1	21404.354
p5-traverse	explore-artist-5665	3	2	21328.829
p5-traverse	explore-artist-5665	3	3	21433.830
