case,variant,found,depth,visited,level_sizes
d1-artist-artist,p2-bfs-uni,t,1,56,{55}
d1-artist-artist,p3-bfs-bi,t,1,57,{55}
d1-artist-artist,p4-adj-bi,t,1,57,{55}
d1-artist-release,p2-bfs-uni,t,1,56,{55}
d1-artist-release,p3-bfs-bi,t,1,57,{55}
d1-artist-release,p4-adj-bi,t,1,57,{55}
d2-artist-artist,p2-bfs-uni,t,2,423,{55,367}
d2-artist-artist,p3-bfs-bi,t,2,18927,{55,18870}
d2-artist-artist,p4-adj-bi,t,2,18927,{55,18870}
d3-artist-artist,p2-bfs-uni,t,3,1252262,{55,367,1251839}
d3-artist-artist,p3-bfs-bi,t,3,6760,{55,6336,367}
d3-artist-artist,p4-adj-bi,t,3,6760,{55,6336,367}
d4-artist-artist,p2-bfs-uni,t,4,1390450,{55,367,1251839,138188}
d4-artist-artist,p3-bfs-bi,t,4,1254448,{55,2185,367,1251839}
d4-artist-artist,p4-adj-bi,t,4,1254448,{55,2185,367,1251839}
d5-artist-artist,p2-bfs-uni,t,5,1389893,{1,8,148544,572892,668447}
d5-artist-artist,p3-bfs-bi,t,5,170359,{1,8,42,148544,21762}
d5-artist-artist,p4-adj-bi,t,5,170359,{1,8,42,148544,21762}
d6-artist-artist,p2-bfs-uni,t,6,1390450,{1,8,148544,572892,668447,557}
d6-artist-artist,p3-bfs-bi,t,6,963879,{1,8,7,42,148544,815275}
d6-artist-artist,p4-adj-bi,t,6,963879,{1,8,7,42,148544,815275}
unreachable,p2-bfs-uni,f,,1390450,{55,367,1251839,138188,0}
unreachable,p3-bfs-bi,f,,57,{55,0}
unreachable,p4-adj-bi,f,,57,{55,0}
